rate,change
48.5,0.52
51.4,-1.02
53.2,-1.54
48,0.22
49.3,-0.94
51.1,-0.72
46.3,0.02
45.5,-0.04
49.1,-0.7
44.6,-0.06
47.5,-0.74
46.4,-0.92
45.3,-0.9
45.6,-0.58
44.3,-1.36
43.8,-1.24
41.8,-1.48
40.8,-1.06
42.7,-1.38
37.5,-0.34
37.6,-0.3
34.4,0.3
35.5,-0.14
35.8,-0.36
35.8,-0.36
36.1,-0.1
35.9,-0.1
34.8,-0.14
34,-0.2
34,-0.52
35.6,-1
35.4,-1.12
34.1,-0.9
33,0.12
31.4,0.94
30.6,0.95
29.8,1.19
29.6,1.08
33.6,0.07
88.1,-0.34
87.8,-0.22
87.5,-0.18
87.2,-0.2
87.2,-0.26
86.4,-0.1
86.7,-0.18
86.6,-0.28
86.2,-0.06
85.9,-0.04
85.9,-0.04
85.8,-0.04
85.2,-0.04
85.9,-0.46
85.7,-0.76
85.7,-0.84
85.6,-0.98
85,-0.88
83.6,-0.74
81.9,0.02
81.5,0.7
80.7,1.06
80.6,1.12
79.9,1.32
82,0.96
85,0.36
86,0.06
86.2,0.3
86.5,0.66
86.8,0.78
86.8,0.78
86.3,0.94
87.7,0.42
89.8,-0.16
90.7,-0.46
90.7,-0.46
91,-0.58
89.8,-0.1
89,-0.12
88.4,0
88.4,0.1
88.1,0
89.3,-0.34
88.4,-0.18
88.4,-0.2
88.9,-0.2
88.1,-0.1
87.6,-0.02
87.5,-0.04
87.4,-0.2
87.9,-0.46
87.6,-0.74
87.5,-0.92
87.3,-1.12
86.4,-1.1
85.6,-1.2
83.9,-1.1
82.9,-1.24
81.7,-1.16
80.9,-1.22
79.6,-1.02
78.4,-0.58
76.7,0.04
75.9,0.46
74.8,1.37
74.5,1.44
75.5,1.24
76.9,0.89
78.2,0.53
81.6,-0.13
81.7,0.02
49.4,-1.08
48.3,-1
47.4,-1.1
46.2,-1.06
44.9,-0.98
44,-1.24
43.3,-2.3
41.9,-1.88
40.9,-1.28
40,-2.68
37.8,-2.96
31.8,-1.56
32.5,-1.74
34.5,-2.62
26.6,-0.88
23,-0.64
24,-0.8
23.8,-0.6
21.4,0.44
22.2,-0.32
19.8,0.74
20,0.28
20.8,0.48
23.6,0.14
20.6,0.62
23.5,0.02
21.4,0.42
23.2,0.34
24.3,0.08
23.7,0.5
23.6,0.52
23.5,0.38
24.9,0.2
24.7,0.28
26.2,-0.16
26.2,0.1
25.4,0.34
25.9,0.36
26.1,0.22
25.4,0.86
26.7,0.08
27.1,-0.22
27.7,0.02
27.2,0.12
29.7,-0.42
27.1,0.6
26,1.06
27.8,0.78
27.8,0.44
27.6,0.36
30.1,-0.84
31.3,-2.36
31.7,-2.42
30,-2.14
29.4,-2.12
25.9,-1.68
19.5,-0.74
19.6,-1.08
19.3,-1.24
18.8,-1.42
17.5,-1.28
15.8,-0.88
14.2,-0.74
13.1,-0.64
11.7,-0.3
11.1,-0.12
11.4,-0.06
10.5,0.25
9.9,0.35
10.2,0.19
10.5,-0.1
48.2,-0.3
47.5,-0.18
47.7,-0.32
47.6,-0.3
46.7,-0.38
46.7,-0.74
46.6,-2.9
46.1,-2.6
46.1,-3.56
44.8,-2.44
43,-2.18
32.1,0.52
33.1,0.08
28.3,2.02
32.6,0.8
32.1,1.14
34.7,0.34
33.5,-0.1
38.4,-1.98
36.6,-2.22
37.8,-2.44
36.4,-3.82
33,-3.44
28.5,-2.72
25.5,-2.18
25.6,-1.38
17.3,-0.06
15.8,-0.04
14.9,0.18
14.6,0.02
18.7,-1.1
17,-1.2
15.6,-1.3
15.8,-1.58
14.7,-1.52
13.2,-1.44
11,-1.1
9.1,-0.82
7.9,-0.68
7.1,-0.62
6,-0.44
5.5,-0.4
5,-0.36
4.5,-0.34
4,-0.28
3.8,-0.28
3.5,-0.24
3.2,-0.22
2.8,-0.16
2.6,-0.2
2.4,-0.2
2.3,-0.22
2.1,-0.2
2,-0.2
1.6,-0.12
1.4,-0.06
1.2,-0.02
1.1,0
1,0
1,-0.02
1.1,-0.08
1.1,-0.1
1.1,-0.12
1,-0.1
0.9,-0.08
0.7,0
0.6,0.02
0.5,0
0.5,-0.02
0.5,-0.03
0.7,-0.07
90,-0.34
89.5,-0.44
89.1,-0.42
88.8,-0.38
88.3,-0.34
88.3,-0.36
87.3,-0.4
87,-0.24
86.9,-0.06
86.6,0
86.5,-0.46
85.3,-0.64
85.8,-0.94
86.6,-0.9
86.6,-1.06
84.2,-0.48
82.1,-0.76
81.1,-0.78
82.1,-0.96
81.3,-1.08
81.8,-1.38
78.3,-0.78
77.2,-0.64
77.3,-1.08
75.9,-0.84
74.9,-0.42
74.4,0.28
74,0.44
71.9,0.88
71.7,0.84
72.8,0.58
75.8,0.22
76.2,0.34
76.3,0.46
75.9,0.72
75.7,0.66
76.9,0.12
77.9,0.54
78.6,-0.06
79.5,0.3
79,-0.56
77.5,-0.58
80.6,-1.28
78.3,-0.94
81,-1.52
76.2,-0.5
74.6,0.26
74.2,0.4
73.6,0.32
73.4,0.2
73.7,0.14
75.9,-0.32
76.2,-0.46
75.2,-0.34
74.4,-0.24
74.4,-0.3
74.3,-0.44
73.9,-0.1
73.5,-0.28
73.2,-0.56
72.9,-0.38
72.1,-0.06
73.4,-0.14
72.1,0.38
70.4,1.01
71,0.94
71.8,0.7
72.7,0.63
74,0.4
75.4,0.18
75.7,0.18
61,-0.3
60.7,-0.32
60.6,-0.38
60.3,-0.34
59.6,-0.38
59.5,-0.8
59.1,-0.64
58.7,-1.2
58.6,-1.7
57.7,-2.22
55.5,-2.08
55.9,-2.24
52.7,-1.14
50.1,-0.54
46.6,0.12
45.1,0.52
44.7,0.54
47,0.16
47.4,0.06
47.2,-0.06
47.7,-0.1
47.4,0.08
47.8,0.18
47.7,0.16
46.9,0.28
47.2,0
47.8,-0.1
48.7,-0.18
48.5,0.12
48.3,0.34
47.2,0.72
47.3,0.58
47.8,0.46
49.1,0.38
50,0.54
50.8,0.64
50.2,0.48
50.1,0.2
51,0.38
52.7,0.1
54,-0.2
52.6,0.06
51.1,0.26
52.9,-0.14
53.2,-0.26
53,-0.32
52.9,-0.22
52.4,-0.36
52.2,-0.5
51.9,-0.96
51.4,-1
51.8,-1.44
50.6,-1.48
49.7,-1.74
47.1,-1.98
46.4,-1.52
44.6,-1.76
43.2,-2.2
41,-2.42
37.2,-1.76
38.8,-2.92
35.8,-2.96
32.2,-1.86
28.9,-1.02
28.4,-0.76
24.2,0.74
21,0.8
22.9,1.23
23.8,0.96
24.6,0.72
27.9,0.08
54.7,-1.38
53.8,-1.34
53.1,-1.34
51,-1.14
49.1,-0.82
47.8,-1.24
47.1,-1.22
46.4,-2.08
45.3,-2.6
45,-2.2
41.6,-2.08
41,-1.54
36,-0.22
32.3,0.82
34,1.58
31.2,2.12
33.3,1.46
34.9,2.08
36.4,4.42
41.9,2.52
41.8,3.26
40.6,3.88
45.3,2.08
58.5,-1.92
54.5,-1.5
58.1,-1.54
60,-1.34
55.7,-0.4
48.9,1.8
47,4.34
50.4,3.26
53.3,2.32
53.7,2.58
57.9,1.28
68.7,-0.66
66.7,0.18
64.9,0.9
66.6,0.6
64.3,1.2
65.4,1.08
67.6,0.78
69.4,0.64
69.6,0.88
70.3,0.04
70.8,0.3
71.5,0.78
72.6,0
74,-0.34
70.5,0.44
72.3,0.62
75.4,-0.56
72.6,-0.12
72.3,-0.02
72.7,-0.48
75.4,-0.78
72.6,-0.58
72,-0.38
72.2,-1.12
70.3,-1.02
71.5,-1.68
69.7,-1.36
70.1,-1.58
66.6,-1.02
65.2,-1.06
63.1,-0.84
62.9,-0.58
62.2,-0.34
61.5,-1.28
59.9,-1.08
58.9,-1.7
60,-2.69
62,-1.26
59.8,-0.34
57.6,0
57.6,0.38
55.7,0.62
55.7,0.5
58.1,0.18
57.6,0.1
59.5,-0.84
58.8,-0.94
58.2,-1.06
59,-0.64
58.1,1.22
55.3,2.04
54.1,0.54
52.9,-1.1
55.8,-2.66
64.2,-4.42
65.5,-4.94
56.8,-3.88
47.4,-1.32
42.5,-0.84
42.1,-1
40.8,0.02
37.4,0.4
40.8,-0.38
38.3,1.62
37.1,2.76
40.9,3.24
39.4,3.86
38.9,3.7
46.4,2.44
50.9,1.5
57.1,-0.16
58.7,-0.4
57.4,-0.9
58.6,-0.94
58.4,-1.08
56.3,-0.24
56.7,0.08
52.9,1.1
53.9,0.76
53,0.92
55.1,0.5
57.1,0.28
58.4,-0.18
57.7,-0.32
57.6,-1.34
57.6,-1.74
58.5,-2.46
57.5,-2.56
56.1,-2.58
50.9,-1.86
48.9,-1.8
46.2,-1.68
44.7,-1.78
43.2,-1.64
41.6,-1.4
39.9,-1.36
37.8,-1.18
35.8,-0.8
35,-0.3
34.6,-0.1
33.1,0.22
31.9,0.44
31.8,1.5
33.5,1.48
34.1,1.44
34.2,1.52
34.1,2.73
39.3,2.32
86.8,-0.4
86.1,-0.3
85.9,-0.3
85.6,-0.28
85,-0.3
84.8,-0.26
84.6,0.04
84.4,-0.24
84.2,0.26
83.5,0.94
83.5,0.8
84.8,0.4
83.2,0.58
85.5,0
88.2,-0.82
87.5,-0.8
86.8,-0.58
86.1,-0.32
85.5,-0.22
84.1,0.1
83.5,0.4
83.9,-0.32
84.5,-0.38
84.4,-0.7
84.6,-1.16
85.5,-1.66
82.3,-1.1
82.6,-1.12
80.9,-0.86
78.8,-0.08
77.2,0.22
76.8,0.2
77,0.3
76.6,0.34
78.4,0.12
78.3,0.46
77.8,0.74
78.5,0.46
78.3,1.1
79,2.46
80.6,0.54
81.5,0.58
80.8,0.76
83.8,-0.02
91.3,-1.68
83.3,-0.48
84.4,-1.12
84.6,-1.9
83.7,-1.66
82.9,-1.82
80.9,-1.86
78.8,-1.82
75.1,-1.3
75.4,-1.7
73.8,-1.64
71.6,-1.46
69.7,-1.44
68.6,-1.84
66.9,-1.78
65.6,-1.92
64.3,-1.94
62.5,-1.66
59.4,-0.98
58,-1.28
56,-1.52
54.6,-0.7
54.2,-1.46
54.5,-2.06
51.6,-2.61
48.4,-2.08
51.1,-3.02
35.9,-1.04
35,-1.58
33.9,-0.94
32.9,-0.88
31.6,-1.46
30.7,-1.22
27.1,-0.22
29.2,-1
28.5,-0.32
24.3,0.92
24.6,0.5
26,0.84
24.2,1.36
26.9,0.9
28.9,0.7
27.1,0.76
30.2,0.2
31,0.94
31.4,1.12
32.4,0.22
30.9,-0.66
31.2,-1.82
35.7,-2.9
37,-2.42
33.5,-0.82
27.6,0.58
22.1,1.36
21.2,1.3
24.9,0.7
29.4,0.48
30.5,1.12
28.9,1.1
27.7,0.18
28.4,0.18
31.8,-1.26
36.1,-1.38
34.4,-1.58
28.6,-0.84
29.3,-1.2
25.5,-0.3
29.2,-1.28
26.5,-1.02
24.4,-1.72
23.3,-1.64
24,-1.8
22.8,-1.72
21.4,-1.64
15.8,-0.72
15.1,-0.74
15,-0.82
14.2,-0.76
13.2,-0.7
12.2,-0.6
11.4,-0.48
10.9,-0.14
10.4,-0.06
9.7,-0.16
9.2,0.24
9,0.3
10.2,-0.02
10.1,0.04
8.9,0.28
10.4,0.06
10.5,0.34
10.1,0.72
10.3,1
10.3,1.32
10.7,2.52
12.2,7.25
13.7,9.15
15.3,8.73
29.4,-0.68
29,-0.68
28.2,-0.62
27.4,-0.54
26.7,-0.54
26,-0.38
25.6,-0.32
25.1,0.02
24.7,0.18
24,0.24
24.1,0.32
24,0.34
25.2,0.44
25.6,0.08
25.2,0.94
25.7,0.46
25.7,0.7
27.4,0.1
26,1
29.9,0.14
28,0.22
29.2,-0.52
27.9,0.22
31,-0.02
30.6,-0.24
29.1,0
26.6,0.26
29,-0.64
30.9,-0.34
29.4,-0.08
29.1,-0.1
27.9,0.1
25.8,0.24
29.2,-0.08
29,-0.14
28.6,0.16
28.4,0.22
27,0.66
28.8,0.36
28.3,0.64
29.4,0.24
29.5,0.26
30.3,0.06
30.6,-0.26
31.5,-0.7
30.6,-0.68
30.8,-0.84
30.6,-0.6
29.3,-0.62
28,-0.5
27.2,-0.46
26.6,-0.32
27.6,-0.5
26.2,-0.22
25.5,-0.06
24.9,0.06
25,0.18
25.1,0.12
25.1,0.16
25.2,-0.06
25.2,-0.38
25.9,-0.76
25.7,-1.02
25.9,-1.3
24.9,-1.2
23.3,-0.8
22.1,-0.84
20.6,-0.48
19.4,-0.18
18.9,-0.24
19.3,-0.55
78.2,-0.78
76.9,-0.72
76.5,-0.76
75.7,-0.7
74.7,-0.72
74.3,-0.76
73.3,-0.58
72.7,-0.66
72.2,-0.56
71.1,-0.72
70.5,-1
70.4,-0.98
69.4,-0.68
69.4,-0.68
67.5,-0.76
65.5,-0.88
65.5,-0.98
66,-1.02
66,-1.06
63.7,-0.72
61.1,-0.18
60.6,0.08
60.9,0.14
60.7,0.16
60.1,0.12
60.2,-0.08
61,-0.32
61.6,-0.6
61.5,-0.3
60.7,-0.26
59.8,0.46
59.4,0.64
58.6,0.48
60,0.96
59.4,1.22
62.1,0.7
62.6,0.54
61,2.2
64.8,1.36
65.5,1.36
65.6,1.84
65.3,1.84
72,0.9
71.6,0.94
72.3,0.92
74.8,0.18
74.5,0.94
76.5,-0.42
76.3,-0.74
76.9,-1.28
75.7,-1.42
79.2,-2.56
74.4,-1.98
72.6,-1.94
70.5,-1.4
68.6,-1.76
66.4,-2.54
64.5,-3.18
62.9,-4.26
63.5,-3.54
59.8,-1.78
53.7,-2.02
48.6,-1.28
41.6,-0.02
45.8,-1.18
50.9,-1.84
43.6,-0.72
42.2,-1.43
41.5,0.04
39.9,2.29
41.7,1.84
48.3,4.52
48.2,4.24
48.2,4.44
49.7,4.32
61.2,2.84
70.9,1.36
69.4,1.92
70.4,1.82
71.3,2.1
75.4,1.18
77.7,1.1
79,0.84
79.5,2
81.8,0.88
48,0.52
48.1,0.12
48.1,0.16
48.1,-0.6
46.7,0.5
50.6,-1.04
48.7,-1.22
48.9,-1.84
45.1,-1.62
49.2,-2.82
45.4,-2.38
42.6,-2.3
39.7,-2.08
37,-1.88
35.1,-1.8
33.5,-1.82
31.1,-1.6
29.3,-1.24
27.6,-0.82
26.1,-0.78
24.4,-0.62
23.1,-0.28
23.1,-1.56
23.5,-1.64
22.2,-2.04
21.3,-1.7
21.7,-1.04
15.3,0.16
15.3,0.48
12,1.7
12.8,1
16.5,0.9
16.1,1.36
17.7,1.06
20.5,0.48
17.8,1.38
21,0.8
22.9,0.54
23,0.58
22.9,0.54
24.7,0.18
25,0.12
25.6,0
25.9,-0.16
25.6,-0.16
25.6,-0.14
25.6,-0.26
25.6,-0.32
25.1,-0.62
24.8,-0.62
24.9,-0.92
24.3,-1.3
24,-1.26
22,-1
21.7,-0.98
20.3,-0.68
17.8,-0.16
17.7,-0.18
17,-0.34
16.8,-0.42
16.9,-0.42
17,-0.68
16.8,-0.76
15.3,-0.56
14.7,-0.46
14.8,-0.54
13.6,-0.28
13,-0.03
12.5,0.09
12.4,0.13
12.1,0.19
94.2,-0.1
94,-0.08
93.9,-0.08
93.9,-0.08
93.8,-0.1
93.7,-0.24
93.6,-0.32
93.5,-0.58
93.5,-0.64
93.3,-0.9
92.5,-1
92,-0.94
90.6,-0.84
90.3,-0.58
88.8,-0.32
87.5,-0.66
87.3,-0.92
86.4,-0.84
87.4,-1.3
87.2,-1.34
84.2,-1.08
82.7,-0.62
82.2,-0.42
80.9,-0.1
80.5,-0.02
78.8,0.04
79.6,-0.48
80.1,-0.48
80.4,-0.52
80.4,-0.58
79,-0.3
77.2,-0.2
77.7,-0.74
77.8,-0.84
77.5,-1.06
77.5,-1.94
76.2,-1.56
74,-1.1
73.6,-1.02
72.2,-0.84
67.8,-0.2
68.4,-0.4
68.5,-0.48
68.5,-0.54
68,-0.54
66.8,-0.34
66.4,-0.32
66.1,-0.46
65.8,-0.58
65.3,-0.64
65.1,-0.84
64.8,-1
63.8,-1
62.9,-0.84
62.1,-0.76
60.9,-1.08
59.8,-1.08
58.8,-1.54
58.7,-2.2
58.3,-2.3
55.5,-1.84
54.4,-1.94
51.1,-1.44
47.7,-0.72
46.8,-0.8
46.3,-0.5
44.7,-0.34
43.9,-0.23
44.1,-0.54
42.8,-0.42
43.8,-0.85
31.5,-1.38
28.2,-0.68
27.3,-0.7
26.4,-0.56
24.1,-0.4
24.6,-0.94
24.8,-0.2
23.8,-0.54
23.6,-1.14
22.1,-1.12
19.9,-0.34
23.8,-1.88
21.1,-1.2
17.9,-0.9
16.5,-0.46
18.2,-1.14
14.4,-0.9
15.1,-1.18
13.4,-1.2
14.2,-1.34
12.5,-1.02
9.9,-0.76
9.2,-0.46
7.4,-0.48
7.5,-0.7
7.4,-0.64
6.1,-0.32
6.9,-0.52
5,-0.32
4,0.02
4.2,-0.16
4.5,0.12
4.3,0.02
3.4,0.14
4.1,0.16
3.4,-0.2
5.1,-0.52
4.4,-0.56
4.1,-0.54
4.9,-0.6
2.4,-0.18
2.5,-0.22
1.6,-0.04
1.4,0
1.9,0
1.5,0.62
1.4,0.48
1.4,0.84
1.4,0.6
1.9,0.4
4.6,-0.34
3.8,-0.36
5.6,-0.48
4.4,-0.62
3.9,-0.5
2.9,-0.3
2,-0.16
3.2,-0.4
1.3,0.06
1.4,-0.04
1.4,-0.02
1.2,-0.06
1.2,-0.08
1.6,-0.18
1.2,-0.1
1.3,-0.12
0.9,-0.04
0.8,-0.03
0.7,-0.01
0.7,-0.01
0.7,-0.01
65.6,-0.96
64.4,-0.84
63.2,-0.68
62.3,-0.7
61.5,-0.84
60.8,-0.48
60.2,-0.3
59.8,-0.62
58.8,0.04
57.3,0.6
58.4,0.46
58.7,0.68
56.7,1.14
59,0.88
60.3,0.26
60.7,0.2
62.1,0.24
62.4,0.4
63.4,1.04
61.6,1.16
61.7,0.74
63.3,0.3
64.4,0.04
68.6,-0.58
67.4,1.72
65.4,2.56
64.8,2.66
64.6,2.68
65.7,1.62
76,-0.46
78.2,-2.48
78.1,-1.96
78,-1.38
73.8,-1.46
73.7,-1.54
65.8,0.54
68.3,-0.3
71.1,-1.1
66.5,1.38
66,0.76
68.5,0.62
66.8,1.08
65.6,1.22
73.4,-0.72
69.8,0.4
71.6,0.42
72.2,-0.4
71.7,-0.7
69.8,-1.08
71.8,-4.58
73.7,-6.9
70.2,-5.54
68.2,-5.2
64.4,-4.38
48.9,-0.42
39.2,0.06
42.5,-0.7
42.2,-1.18
42.5,-1.18
46.8,-1.88
39.5,-0.42
39,0.44
36.3,1.44
36.6,1.16
37.4,0.62
37.4,0.62
41.2,-0.16
43.5,-0.8
42.4,-0.21
40.5,0.41
40.5,0.04
66.9,-0.66
66.7,-0.7
65.4,-0.56
64.9,-0.56
64.2,-0.5
63.6,-0.82
63.2,-1.5
62.6,-1.56
62.1,-1.7
61.7,-2.78
59.5,-3.34
55.7,-3.1
54.8,-3.08
53.6,-2.88
47.8,-2.74
42.8,-1.52
40.2,-0.46
39.4,-1.12
39.2,-1.16
34.1,-0.3
35.2,-0.52
37.9,-0.54
33.8,-0.22
33.4,-0.56
32.6,0
32.6,-0.6
35.2,-0.76
32.7,0.14
30.6,1.78
32.6,1.22
29.6,1.42
31.4,1.38
33.4,1.2
39.5,-0.46
38.7,-0.52
36.7,0.42
38.3,0.44
39.4,0.88
37.2,2.56
36.1,1.66
38.8,0.82
40.5,0.08
43.8,-2.02
50,-2.38
44.4,-1.2
42.9,-0.56
40.9,0.1
33.7,1.34
38.1,0.1
38.4,0.36
40.1,0.68
41.4,0.44
40.4,1.2
38.6,1.58
40.2,1.16
43.5,0.32
43.6,0.16
46.4,-0.72
46.5,-1
46,-1.22
45.1,-1.42
44.4,-1.44
42.8,-1.22
41.5,-1.18
39.9,-0.96
38,-0.44
37.2,-0.51
36.7,-0.81
35.6,-0.78
35.1,-0.87
35.8,-1.51
81.2,-0.38
78.9,0.12
79,0.14
80.5,-0.1
79.2,0.06
79.3,0
79.5,0.04
79.7,-0.36
80,-0.6
79.5,-0.68
79.3,-0.7
79.7,-1.28
77.9,-1.02
77,-1.04
76.1,-0.84
75.8,2.38
73.3,2.86
72.8,2.8
71.8,2.9
71.9,2.94
87.7,-0.22
87.6,-0.2
86.8,0.14
86.3,0.3
86.6,0.28
86.6,0.28
86.6,0.44
87.5,0.38
87.8,0.4
88,0.34
88,0.38
88.8,0.18
89.4,0.02
89.8,-0.2
89.7,-0.22
89.9,-0.4
89.7,-0.34
89.5,-0.26
88.8,-0.04
88.6,0.1
87.9,0.22
88,0.08
88.2,0
88.6,-0.12
89.1,-0.28
89,-0.36
88.4,-0.68
88.2,-1.42
88,-2.1
87.7,-2.9
87.2,-3.62
85,-3.92
81.1,-3.84
77.5,-3.5
73.2,-3.02
69.1,-2.64
65.4,-2.54
61.9,-2.06
60,-1.7
58.1,-1.36
55.9,-0.92
52.7,-0.3
51.6,-0.1
51.5,-0.06
51.3,-0.32
51.3,-0.24
51.2,-0.32
51.1,-0.17
51.2,-0.3
49.7,-0.13
50.1,-0.35
79.1,0.1
80.6,-0.34
80.1,-0.4
79.5,-0.08
80.4,-0.46
79.6,-0.38
78.9,0.04
78.1,0.06
79.1,-0.58
78.1,-0.56
77.7,-0.44
79.1,-0.9
78.4,-0.84
76.2,-0.36
75.3,-0.66
75.5,-0.56
74.6,-0.42
74.2,-0.22
74.4,-0.1
72,0.48
72.7,0.54
72.5,0.68
73.1,0.6
73.9,0.84
74.4,1.52
75.4,1.54
75.9,1.42
76.1,1.18
78.1,0.78
82,0.18
83.1,0.14
83,0.18
82,0.26
82,0.14
82.9,-0.18
83.8,-0.56
83.9,-0.6
83.3,-0.56
82.7,-0.48
82,-0.42
81,-0.4
80.9,-0.38
80.5,-0.22
80.3,-0.08
79.9,0.1
79,0.32
79,0.2
79.4,-0.1
79.9,-0.5
80.4,-0.98
80.6,-1.46
80,-1.94
78.9,-2.22
77.4,-2.3
75.5,-2.18
73.3,-2.34
70.3,-2.34
67.8,-2.12
65.9,-1.82
64.6,-1.42
61.6,-0.64
58.6,0.22
57.2,0.58
56.8,0.54
57.5,0.38
58.4,0.28
59.7,-0.06
60.1,-0.28
59.5,-0.4
59.4,-0.66
59.8,-1
58.3,-0.56
57.7,-0.58
57.4,-0.6
56.9,-0.48
56.1,-0.42
55.5,-0.38
54.8,-0.28
54.4,-0.4
54.5,-0.66
54,-0.88
53.6,-0.96
53.4,-1
52.4,-1.06
51.2,-0.88
49.6,-0.64
48.8,-0.6
48.4,-0.6
47.1,-0.28
46.8,-0.3
46.4,-0.42
45.8,-0.24
45.4,-0.12
45.7,-0.02
45.3,0.06
44.3,0.2
44.6,-0.08
44.8,-0.2
45.6,-0.16
45.6,0.18
45.3,0.12
44.2,0.62
43.8,0.92
44.8,0.78
46.5,0.32
45.9,0.44
47.3,0.16
48.4,0.12
48.7,0.26
48.1,0.38
48.1,0.24
48.1,-0.04
49,-0.42
50,-0.76
50,-0.7
49.3,-0.6
47.9,-0.52
46.9,-0.42
46.2,-0.44
46.5,-0.58
46.3,-0.82
45.3,-0.92
44.8,-1.18
44,-1.5
43.6,-1.44
42.2,-1.38
40.7,-2.58
38.9,-2.3
36.5,-1.88
36.4,-1.8
35.3,-1.5
27.8,-0.02
27.4,-0.28
27.1,-0.58
27.4,-1.02
27.8,-1.34
27.7,-1.18
26,-1.32
24.2,-1.35
22.3,-0.94
21.1,-0.66
21.8,-0.8
61.3,-0.94
59.8,-1.18
58.3,-0.96
56.4,-0.3
55.1,-1.26
56.6,-1.88
53.9,-1.2
53.5,-0.76
54.9,-1.04
48.8,-0.46
47.2,-1.02
47.9,-0.52
49.7,-1.26
49.7,-1.1
46.5,-0.14
42.1,0.58
45.3,0.18
43.4,0.04
44.2,0.22
45.8,-0.4
45,0.22
46.2,-0.26
43.6,0.86
45.3,0.68
43.8,1.44
46.1,0.98
44.9,0.96
47.9,0.9
48.7,1.04
51,0.8
51,0.88
49.7,1.32
52.4,0.78
53.9,0.26
55,0.28
55.4,0.48
56.3,0.48
56.3,0.8
55.2,0.7
56.4,1.24
57.8,0.94
58.7,0.54
60.3,0.18
58.7,0.6
62.6,0.3
62.5,0.74
61.4,1.38
61.2,1.96
61.7,2.2
64.1,1.68
66.2,1.32
68.3,1.24
71,0.76
72.7,0.24
72.5,0.08
72.8,-0.28
74.5,-0.78
74.8,-1.14
73.9,-1.08
72.9,-0.94
71.4,-0.7
70.6,-0.44
69.1,-0.06
68.5,0.1
68.2,0.34
67.9,0.78
68.4,0.64
68.8,0.57
69,0.39
69.9,0.16
71.8,-0.28
49.5,-1.08
48.3,-1.58
48.2,-1.82
46.4,-1.32
45.8,-1.36
44.1,-1.12
40.4,-0.6
39.1,-0.2
39.8,-0.56
39,-0.1
38.5,-0.12
37.4,0.22
38.1,-0.28
37,0.04
38.5,-0.88
37.9,-1.98
38.5,-2.46
36.7,-2.42
37.2,-2.48
34.1,-2.06
28,-0.52
26.2,0
24.6,0.96
24.8,1.2
23.8,1.28
25.4,0.44
26.2,-0.08
29.4,-0.64
30.8,-0.78
30.2,-0.3
27.6,0
25.8,0.46
26.2,0.52
26.9,0.1
28.7,-0.4
27.6,-0.44
28.1,-0.72
28.8,-0.08
27.4,0.22
26.7,-0.2
25.4,0.1
24.5,-0.24
28.4,-1.08
28.5,-1.14
25.7,-0.44
25.9,-0.22
23.3,0.24
23,0.96
22.8,2.32
23.5,2.68
24.8,2.9
24.5,3.32
27.8,3.02
34.4,3.2
36.9,1.86
39.3,0.14
41.1,-1.08
42.9,-2
50.4,-3.06
46.2,-1.8
40,-0.04
35.7,1.44
32.9,2.36
35.1,2.02
37.2,2.4
39.8,2.5
42.9,1.48
44.7,0.83
45.2,0.49
49.2,-0.32
52.3,-1.41
83.1,-1.28
81.5,-1.12
81.5,-1.66
79.9,-1.7
78.8,-1.92
76.7,-2.02
75.9,-1.94
73.2,-1.76
71.4,-1.62
69.2,-1.64
66.6,-1.42
66.2,-1.78
64.4,-1.72
63.3,-1.78
61,-1.64
59.5,-1.86
57.3,-1.7
55.8,-1.64
54.4,-1.82
52.8,-1.54
50.2,-1.04
48.8,-0.8
47.6,-0.58
45.3,-0.16
45.1,-0.16
45,-0.22
44.8,-0.68
44.7,-0.74
44.5,-0.62
44.3,-0.08
43.9,0.06
41.4,0.02
41,0.54
41.4,0.76
43.9,-0.54
44.2,0.68
41.5,4.3
43.7,4.48
45.2,3.16
41.2,3.14
47.6,0.48
63,-3.08
66.1,-2.62
61,-2.5
56.9,-2.82
50,-2.28
47.6,-2.56
53,-4.02
48.5,-3.7
42.8,-2.98
38.6,-2.68
34.8,-2.18
32.9,-2.14
30,-1.84
27.9,-1.36
25.2,-0.7
23.9,-0.38
22.2,0.1
20.8,0.18
21.1,-0.16
21.7,-2.06
22,-2.32
22.7,-2.76
21.7,-3.02
20.3,-2.86
11.4,-0.98
10.4,-0.98
8.9,-0.78
6.6,-0.38
6,-0.34
6.5,-0.52
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.9,0
0.9,0
0.9,0
0.9,-0.06
0.9,0
0.9,-0.02
0.9,-0.08
0.9,-0.04
0.6,0.06
0.9,-0.06
0.8,-0.06
0.5,0
0.7,-0.04
0.9,-0.08
0.6,-0.02
0.5,-0.02
0.5,-0.02
0.5,-0.02
